"","Ca","Mg","Na","K","Sr","Alk","Cl","SO","Br","I","Fe","H","O","C"
"Ca",1,0.900844898636785,0.901040709742012,0.658918438329723,0.619202405084821,-0.155206524668784,0.758928797248886,0.0138049307960867,0.385773791744136,0.296337641786072,0.274332272780038,-0.192594301993605,0.156129494400438,0.140411099216971
"Mg",0.900844898636785,1,0.799800867259447,0.6753520848544,0.549665087828392,-0.143191512215984,0.68512841055712,0.0177025425466182,0.401911055498034,0.327379536732077,0.257009597047013,-0.183719012829856,0.190302671117158,0.168597607648042
"Na",0.901040709742012,0.799800867259447,1,0.614354500753248,0.478101655030655,-0.111081939072504,0.812406732169977,-0.0459707496383166,0.297631810965243,0.423979567007032,0.233376028018435,-0.24464643993051,0.209537495735786,0.22874072181112
"K",0.658918438329723,0.6753520848544,0.614354500753248,1,0.319003534773683,-0.178775061967206,0.55965018583501,0.00434763789687676,0.175169320825571,0.0273186719438266,0.137614733191036,-0.310811614895615,0.0718040557583726,0.211016095456248
"Sr",0.619202405084821,0.549665087828392,0.478101655030655,0.319003534773683,1,-0.104238467874482,0.443221269086239,-0.0513388669135722,0.64459438436376,0.369145156053708,0.35964477641801,0.0723145913263399,0.0457815637225617,0.0509609904717055
"Alk",-0.155206524668784,-0.143191512215984,-0.111081939072504,-0.178775061967206,-0.104238467874482,1,-0.172795801252956,0.230012641602233,-0.0876297688342147,0.144827247928502,-0.126601383385727,0.0146793987842477,0.302384064753958,-0.0137861526188184
"Cl",0.758928797248886,0.68512841055712,0.812406732169977,0.55965018583501,0.443221269086239,-0.172795801252956,1,-0.092488110625768,0.646428114574434,0.306341033598428,0.599743566264494,-0.186448199372562,0.174685061528462,0.222519397533929
"SO",0.0138049307960867,0.0177025425466182,-0.0459707496383166,0.00434763789687676,-0.0513388669135722,0.230012641602233,-0.092488110625768,1,-0.112065830935431,-0.15561842405975,-0.0204772835730477,-0.156707796852958,0.0326238717335202,-0.275861386635848
"Br",0.385773791744136,0.401911055498034,0.297631810965243,0.175169320825571,0.64459438436376,-0.0876297688342147,0.646428114574434,-0.112065830935431,1,0.338951041372501,0.736394568135726,0.100032553843044,0.0835209805129943,0.107133608198948
"I",0.296337641786072,0.327379536732077,0.423979567007032,0.0273186719438266,0.369145156053708,0.144827247928502,0.306341033598428,-0.15561842405975,0.338951041372501,1,0.170905998036463,0.168297893314623,0.154779011609276,0.170494681106692
"Fe",0.274332272780038,0.257009597047013,0.233376028018435,0.137614733191036,0.35964477641801,-0.126601383385727,0.599743566264494,-0.0204772835730477,0.736394568135726,0.170905998036463,1,-0.0200478307435567,0.116183879972412,0.123078404440178
"H",-0.192594301993605,-0.183719012829856,-0.24464643993051,-0.310811614895615,0.0723145913263399,0.0146793987842477,-0.186448199372562,-0.156707796852958,0.100032553843044,0.168297893314623,-0.0200478307435567,1,-0.0584712847890942,-0.15649598950355
"O",0.156129494400438,0.190302671117158,0.209537495735786,0.0718040557583726,0.0457815637225617,0.302384064753958,0.174685061528462,0.0326238717335202,0.0835209805129943,0.154779011609276,0.116183879972412,-0.0584712847890942,1,0.619333925502492
"C",0.140411099216971,0.168597607648042,0.22874072181112,0.211016095456248,0.0509609904717055,-0.0137861526188184,0.222519397533929,-0.275861386635848,0.107133608198948,0.170494681106692,0.123078404440178,-0.15649598950355,0.619333925502492,1
