"","PC1","PC2","PC3","PC4","PC5"
"Ca",0.397895463512821,-0.155011113083259,0.122229675446287,0.0749289409809926,-0.156953809269871
"Mg",0.383773999796989,-0.157631950194187,0.0860277208060002,0.0713709054518255,-0.155319186018897
"Na",0.385621183575772,-0.192002392214455,0.0211403707156041,0.02988814739762,-0.200765164336788
"K",0.295419058809201,-0.33644774619769,0.154599802238875,-0.104077963972572,0.00283981566858407
"Sr",0.301501332514357,0.256233784285165,0.0857873756546571,0.140331520129662,-0.131140227010955
"Alk",-0.0755515577468463,-0.0548414428176901,-0.382862779996914,0.587034503242234,-0.0667002646334042
"Cl",0.391651683669269,0.0383206932669006,0.0318616874368743,-0.0396828095785004,0.168519645171589
"SO",-0.0381438050846501,-0.212615175925377,0.130756174573802,0.658944006093627,0.289158577693451
"Br",0.282726976355127,0.464083282942956,-0.0149322227804946,0.0601844403967147,0.279447115513329
"I",0.191828833100913,0.252586167640841,-0.246256889271035,0.164038273719052,-0.46160390392487
"Fe",0.230485201915595,0.376086248793691,-0.0249543433342515,0.0097149232148308,0.549142161941193
"H",-0.0839314729660944,0.471216967901507,-0.0528782906662861,0.0301944367717245,-0.397480962307527
"O",0.110680839086382,-0.151231017052735,-0.636411882974878,0.0619646075142454,0.125148356893092
"C",0.133463493613272,-0.142107390574969,-0.558525785139303,-0.376968875634817,0.104351823184747
