"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Ca",1,90,692.912222222222,1362.84559388446,193,345.1125,286.1418,0,7260,7260,3.22243059478855,10.6930427882322,143.656539193325
"Mg",2,90,303.639777777778,500.281452043124,105.5,192.674722222222,156.4143,0,2710,2710,2.82407137998255,8.88456868195668,52.7342953197524
"Na",3,90,6359.66066666667,10783.1652791218,2210,3716.52027777778,3276.546,0,52850,52850,2.73533359892405,7.61582014705249,1136.64542226901
"K",4,90,46.532,68.8839372871483,10.35,31.04,15.34491,0,299,299,1.81175101691571,2.66385526398659,7.26100453425295
"Sr",5,90,14.7186666666667,79.2359485320601,0,1.69416666666667,0,0,647,647,6.84128564284126,47.7641424950532,8.35220233083951
"Alk",6,90,377.526666666667,451.273978117333,307.5,288.811111111111,360.2718,0,2090,2090,1.98844312598628,4.29203368235095,47.5684539871918
"Cl",7,90,13468.0466666667,22714.2059779466,6560,7811.79166666667,9568.7004,0,118600,118600,2.77269468443272,7.92571443629978,2394.28753775078
"SO",8,90,352.759888888889,692.064735990146,52.5,172.33875,77.8365,0,3480,3480,2.47245058652608,5.78564812258035,72.9500284670656
"Br",9,90,21.4762222222222,84.0615216331224,0,1.38416666666667,0,0,540,540,4.90117699358935,24.7817666921612,8.86086239800613
"I",10,90,5.53911111111111,13.6724218155425,0,1.59708333333333,0,0,57,57,2.49080952756959,5.1368421092565,1.44119980225629
"Fe",11,90,4.37077777777778,14.1063525595503,0,1.22513888888889,0,0,96,96,4.96634718367427,26.0101883998523,1.48694011885083
"H",12,90,-4.28266666666667,11.5166791405755,0,-1.11430555555556,0,-51.46,9.05,60.51,-2.49312058275042,5.40689802176632,1.21396457218563
"O",13,90,-1.32211111111111,4.38335141762977,0,-1.35027777777778,0.533736,-10,14.02,24.02,0.246374981050915,1.45985198395472,0.462045808821268
"C",14,90,-1.81322222222222,4.35699768492788,0,-0.594027777777778,0,-14.8,0,14.8,-2.12742363935578,2.7424542872596,0.45926788148176
